node,child
951,1352
951,1070
951,3824
951,1012
951,3890
951,2416
951,3825
951,3826
951,4023
951,2344
951,2155
951,4054
951,4055
951,1324
951,2157
951,775
951,3828
951,2041
951,3573
951,3057
951,593
951,592
951,591
951,590
951,589
951,588
951,587
951,586
951,584
951,585
951,3572
951,1321
951,158
951,288
951,1391
951,1614
951,4063
951,4062
951,3868
2007,1840
2007,1174
2007,430
2007,3823
2007,704
2007,2115
2007,4067
2007,1586
2007,1547
2007,1241
2007,1636
2007,951
2007,1898
2007,3144
2007,159
2007,197
2007,240
2007,3394
2007,2325
2007,2413
2007,4121
2007,3817
2007,4125
2007,4126
2007,4127
2007,4122
2007,4123
2007,4124
2007,4128
2007,4129
2007,4130
2007,4131
2007,4311
2007,1037
2007,1424
2007,768
2007,18
2007,3909
2007,3910
2007,3911
2007,3912
2007,3913
2007,1429
2007,3914
2007,1428
2007,3225
2007,2833
2007,2526
2007,3453
2007,2414
2007,1352
2007,1070
2007,3824
2007,1012
2007,3890
2007,2416
2007,3825
2007,3826
2007,4023
2007,2344
2007,2155
2007,4054
2007,4055
2007,1324
2007,2157
2007,775
2007,3828
2007,2041
2007,3573
2007,3057
2007,593
2007,592
2007,591
2007,590
2007,589
2007,588
2007,587
2007,586
2007,584
2007,585
2007,3572
2007,1321
2007,158
2007,288
2007,1391
2007,1614
2007,4063
2007,4062
2007,3868
1898,1840
1898,1174
1898,430
1898,3823
1898,704
1898,2115
1898,4067
1898,1586
1898,1547
1898,1241
1898,1636
1898,951
1898,2007
1898,3144
1898,159
1898,197
1898,240
1898,3394
1898,2325
1898,2413
1898,4121
1898,3817
1898,4125
1898,4126
1898,4127
1898,4122
1898,4123
1898,4124
1898,4128
1898,4129
1898,4130
1898,4131
1898,4311
1898,1037
1898,1424
1898,768
1898,18
1898,3909
1898,3910
1898,3911
1898,3912
1898,3913
1898,1429
1898,3914
1898,1428
1898,3225
1898,2833
1898,2526
1898,3453
1898,2414
1898,1352
1898,1070
1898,3824
1898,1012
1898,3890
1898,2416
1898,3825
1898,3826
1898,4023
1898,2344
1898,2155
1898,4054
1898,4055
1898,1324
1898,2157
1898,775
1898,3828
1898,2041
1898,3573
1898,3057
1898,593
1898,592
1898,591
1898,590
1898,589
1898,588
1898,587
1898,586
1898,584
1898,585
1898,3572
1898,1321
1898,158
1898,288
