node,child
2034,2817
2034,2736
2034,1809
1809,2259
1809,4529
1809,2817
1809,2736
1809,2034
4630,2035
4630,3106
2035,3106
3106,4630
453,2037
5333,2988
4038,5645
4038,3337
4038,5523
5645,4038
5645,3337
5645,5523
3337,4038
3337,5523
5523,5645
1797,4459
1797,4959
4459,4959
4959,1797
13,2227
13,5116
2227,13
2227,5116
5116,2227
1915,5802
2038,4753
2039,961
2039,4960
2039,478
961,4960
4960,2039
4960,478
478,2039
478,4960
6085,2895
3194,4067
5890,1674
4412,962
4412,1166
4412,477
962,1166
962,477
1166,4412
1166,477
477,4412
477,962
477,1166
4961,2235
2272,2541
3351,23
3351,965
3351,5656
23,787
23,965
23,5656
23,5750
787,5656
787,5750
965,3351
965,23
965,5656
5656,3351
5656,23
5656,965
5656,5750
4438,5461
4438,2375
5461,2375
2375,4438
5750,23
5750,787
5750,5656
4965,3666
3666,305
4378,966
967,3938
967,4964
3938,967
3938,4964
4059,1784
4059,968
4059,3440
1784,968
1784,3440
968,4059
968,3440
556,5141
1563,5161
2770,969
2770,2041
969,2041
2041,2770
5577,3828
2309,651
4652,677
4652,3923
677,3923
3923,4652
4175,2157
4049,3338
4049,2602
4966,3338
4966,2602
4967,2345
4967,4070
2345,4070
4070,4967
3338,2602
2602,4049
2602,4966
4614,645
5144,1265
5144,1842
1265,1842
1842,5144
2186,5338
2186,1342
2186,1878
2187,1396
2188,1398
2215,2066
2215,1900
2215,289
3765,1655
25,4442
3833,1682
3833,4969
3833,971
1682,4969
1682,971
4969,3833
4969,971
971,3833
971,1682
971,4969
3391,4583
5646,4970
4971,2046
4971,73
2046,73
73,4971
1141,3368
1141,2251
1141,4143
3368,2251
3368,4143
2251,1141
2251,4143
4143,1141
4143,3368
972,4147
4539,2044
5676,5844
5676,92
5676,3384
5676,2738
5844,92
5844,3384
5844,2738
92,5676
92,3384
92,2738
3384,5676
3384,5844
3384,2738
2738,5676
2738,5844
2738,92
2738,3384
2135,111
2135,2045
2135,1303
111,2045
111,1303
2045,2135
2045,1303
1303,2135
1303,111
1303,2045
3158,4697
2958,3620
368,102
2048,189
288,4062
2490,265
3001,3720
5338,1342
5338,1878
1342,2186
1342,1878
1878,2186
1878,5338
4352,1109
819,3127
4680,1880
4680,4972
4680,240
1880,4972
1880,240
4972,4680
4972,240
240,4680
240,1880
240,4972
5628,1479
1785,1517
1785,973
1785,4756
1517,973
1517,4756
973,1785
973,4756
2326,1454
2326,5236
2326,1751
1454,5237
1454,5236
1454,1751
5236,2326
5236,1454
5236,1751
1751,5237
1751,2326
1751,1454
1751,5236
826,4973
826,724
974,724
4973,724
724,826
2292,2049
2292,2818
2292,2750
2049,2818
2049,2750
2049,3841
2818,2292
2818,2750
2818,3841
2750,2292
2750,2049
2750,2818
2750,3841
3841,2049
3841,2818
3841,2750
1414,3125
1414,4253
3125,4253
4253,1414
543,2727
543,975
543,4975
2727,975
2727,4975
975,543
975,4975
4975,543
4975,2727
4975,975
4756,1785
4756,1517
4756,973
299,845
253,5716
4490,2051
780,1177
780,4419
1177,4419
4419,780
2716,1919
2990,4491
3552,3693
456,3716
115,5099
5408,791
2757,3873
89,5675
89,2680
89,4540
5675,2680
5675,4540
2680,89
2680,4540
4540,89
4540,5675
4540,2680
976,802
976,4977
976,3301
976,594
802,3301
4977,976
4977,3301
3301,976
3301,4977
3301,594
594,976
594,3301
977,1856
